recipe_name,ingredients,cuisine,calories,rating,instructions,difficulty
Caesar Salad,lettuce croutons parmesan chicken caesar dressing,American,320,4.4, Chop romaine 100g lettuce into bite-size pieces | Grill or pan-fry 200g chicken breast | Slice cooked chicken into strips | Toss lettuce with Caesar dressing | Add grated 30g parmesan cheese | Top with croutons | Add chicken slices on top | Serve immediately,easy
Teriyaki Salmon,salmon soy sauce ginger garlic sesame rice,Japanese,450,4.7,Mix soy sauce | sugar | 1 tbsp minced ginger | and 3 cloves garlic for marinade | Marinate salmon for 30 minutes | Heat oil in pan over medium-high heat | Sear salmon skin-side down first | Flip and cook until done | Pour marinade in pan and reduce | Sprinkle with sesame seeds | Serve with steamed 200g rice,medium
Vegetable Stir Fry,broccoli bell pepper carrot soy sauce tofu,Asian,300,4.3, Cut 150g broccoli | bell 1/2 tsp pepper | and 1 medium carrot into bite-size pieces | Press 200g tofu and cut into cubes | Heat oil in wok over high heat | Stir-fry tofu until golden | Add vegetables starting with carrots | Add soy sauce and garlic | Toss everything together | Serve over rice,medium
Beef Stroganoff,beef mushrooms sour cream onion pasta,Russian,650,4.6,Slice 200g beef into thin strips | Brown beef in butter over high heat | Remove beef and sauté sliced 100g mushrooms | Add diced 1 medium onion and cook until soft | Pour in beef broth and simmer | Stir in sour 100ml cream | Add beef back to pan | Serve over cooked 200g pasta,hard
Veggie Burger,black beans oats onion spices burger buns,American,420,4.2,Mash black 150g beans in bowl | Mix in oats | diced 1 medium onion | and spices | Form mixture into patties | Refrigerate patties for 30 minutes | Heat oil in pan over medium heat | Cook patties until crispy on both sides | Toast burger buns | Assemble burgers with toppings and serve,medium
Shakshuka,eggs tomato pepper onion garlic cumin,Middle Eastern,280,4.5,Sauté diced 1 medium onion and bell 1/2 tsp pepper in oil | Add minced 3 cloves garlic and cook briefly | Pour in diced tomatoes and 1 tsp cumin | Simmer sauce until thickened | Make wells in sauce for 2 eggs | Crack eggs into wells | Cover and cook until eggs are set | Serve with crusty bread,medium
Caprese Salad,tomato mozzarella basil olive oil balsamic,Italian,220,4.4, Slice tomatoes and 100g mozzarella into rounds | Arrange alternating slices on plate | Tuck fresh 2 tbsp fresh basil leaves between slices | Drizzle with olive 2 tbsp oil | Add balsamic vinegar | Sprinkle with salt and pepper | Serve at room temperature,easy
Ramen Bowl,noodles pork broth egg green onion seaweed,Japanese,550,4.8,Simmer 200g pork 500ml broth for rich flavor | Cook ramen 200g noodles according to package | Soft-boil eggs and halve them | Slice cooked pork into thin pieces | Place noodles in serving bowl | Pour hot broth over noodles | Top with pork | 2 egg | green 1 medium onion | and seaweed | Serve immediately,hard
Ceviche,fish lime juice onion cilantro chili,Mexican/Peruvian,230,4.3, Dice fresh 150g fish into small cubes | Squeeze fresh lime juice over fish | Add diced 1 medium onion and 2 tbsp fresh cilantro | Mix in chopped 1-2 chili | Refrigerate for 30 minutes to marinate | Drain excess liquid | Season with salt | Serve chilled with tortilla chips,medium
Bibimbap,rice beef spinach carrot egg gochujang,Korean,500,4.7,Cook 200g rice and keep warm | Sauté 100g spinach and carrots separately | Cook 200g beef with soy sauce and garlic | Fry 2 egg sunny-side up | Arrange rice in bowl | Place vegetables and beef on top in sections | Add fried egg in center | Drizzle with gochujang and serve,medium
Chicken Shawarma,chicken garlic yogurt pita cucumber tomato,Middle Eastern,480,4.6," Marinate 200g chicken in 100g yogurt, 3 cloves garlic, and spices | Grill or roast chicken until cooked | Slice chicken thinly | Warm pita bread | Spread yogurt sauce on pita | Add chicken slices | Top with diced 1 cucumber and 2 medium tomato | Wrap and serve",hard
Mac and Cheese,pasta cheddar butter milk flour,American,520,4.4,Cook 200g pasta until al dente | Make roux with 2 tbsp butter and 100g flour | Gradually add 200ml milk while whisking | Add shredded cheddar and stir until melted | Season with salt and pepper | Mix in cooked pasta | Transfer to baking dish | Bake until bubbly and golden,medium
Beef Burrito,beef rice beans tortilla cheese salsa,Mexican,550,4.5, Cook seasoned 200g beef until browned | Warm large tortillas | Spread 200g rice down center of 2 tortilla | Add 150g beans and beef | Top with shredded 50g cheese | Add salsa on top | Fold sides and roll tightly | Serve with sour cream,medium
Spring Rolls,cabbage carrot noodles wrapper soy sauce,Vietnamese,220,4.2, Soak rice 200g noodles until soft | Shred 150g cabbage and 1 medium carrot thinly | Blanch vegetables briefly | Soak rice paper wrapper in water | Place vegetables and noodles on wrapper | Fold sides and roll tightly | Serve with soy sauce for dipping,medium
Stuffed Peppers,bell pepper rice beef tomato cheese,Spanish,400,4.3,Preheat oven to 375°F (190°C) | Cut bell peppers in half and remove seeds | Mix cooked 200g rice | ground 200g beef | and diced tomatoes | Season mixture with salt and 1/2 tsp pepper | Stuff pepper halves with mixture | Top with shredded 50g cheese | Bake for 30 minutes | Serve hot,medium
Miso Soup,broth tofu seaweed green onion miso paste,Japanese,120,4.1, Heat 500ml broth in pot | Cut 200g tofu into small cubes | Add tofu and seaweed to broth | Dissolve miso paste in small amount of broth | Stir miso mixture into pot | Heat gently without boiling | Add sliced green onions | Serve immediately,medium
Chicken Parmesan,chicken breadcrumbs tomato sauce mozzarella,Italian,650,4.8,Pound 200g chicken breasts thin | Coat chicken in breadcrumbs | Fry chicken until golden brown | Place chicken in baking dish | Top with 2 medium tomato sauce | Add 100g mozzarella cheese on top | Bake until cheese melts | Serve with pasta,medium
Egg Fried Noodles,noodles egg soy sauce garlic peas,Chinese,380,4.4,Cook 200g noodles and drain well | Scramble eggs in wok and set aside | Heat oil in wok over high heat | Add minced 3 cloves garlic and cook briefly | Toss in noodles and soy sauce | Add 50g peas and stir-fry | Mix eggs back in | Serve hot,medium
Pumpkin Soup,pumpkin onion garlic cream broth,Australian,250,4.3,Peel and cube pumpkin | Sauté diced 1 medium onion and 3 cloves garlic in butter | Add pumpkin cubes and cook briefly | Pour in 500ml broth and bring to boil | Simmer until pumpkin is soft | Blend soup until smooth | Stir in 100ml cream | Serve with crusty bread,medium
Pav Bhaji,potato peas tomato butter bun masala,Indian,450,4.6, Boil and mash potatoes | Cook 50g peas until tender | Sauté onion and tomatoes with pav bhaji masala | Add mashed vegetables and mix | Add 2 tbsp butter generously | Simmer until thick | Toast pav buns with butter | Serve bhaji with pav,medium
Bulgogi,beef soy sauce garlic sugar sesame oil,Korean,500,4.7,Slice 200g beef thinly against the grain | Mix soy sauce | 1 tbsp sugar | 3 cloves garlic | and sesame 2 tbsp oil | Marinate beef for at least 2 hours | Heat pan or grill to high heat | Cook beef in batches quickly | Don't overcrowd the pan | Serve with rice and lettuce wraps,medium
Tandoori Chicken,chicken yogurt spices lemon onion,Indian,470,4.6,"Make marinade with 100g yogurt, spices, and lemon juice | Score 200g chicken pieces deeply | Coat chicken with marinade | Refrigerate for 4 hours or overnight | Preheat oven to 450°F (230°C) | Roast chicken until charred and cooked | Garnish with 1 medium onion rings | Serve with naan",medium
Tom Yum Soup,shrimp lemongrass lime chili mushroom,Thai,280,4.5,Bring broth to boil | Add lemongrass and lime leaves | Add mushrooms and cook briefly | Add 150g shrimp and cook until pink | Stir in 1-2 chili paste for heat | Squeeze in fresh lime juice | Season with fish sauce | Serve hot with cilantro,medium
Clam Chowder,clams potato cream onion celery,American,520,4.4,Cook diced bacon until crispy | Sauté 1 medium onion and 2 stalks celery in bacon fat | Add diced potatoes and cook | Pour in clam juice and broth | Simmer until potatoes are tender | Add clams and cook briefly | Stir in 100ml cream | Season and serve with crackers,medium
Chicken Alfredo,pasta chicken cream parmesan garlic,Italian,620,4.8, Cook 200g pasta until al dente | Season and cook 200g chicken in butter | Slice cooked chicken into strips | Make sauce with 100ml cream | butter | and 3 cloves garlic | Add grated 30g parmesan and stir until smooth | Toss pasta with sauce | Top with sliced chicken | Serve with extra Parmesan,medium
Veggie Paella,rice saffron peas bell pepper artichoke,Spanish,420,4.3, Heat oil in paella pan | Sauté bell peppers until soft | Add 200g rice and coat with oil | Stir in saffron-infused broth | Add 50g peas and artichokes | Simmer without stirring for 20 minutes | Let rest covered for 5 minutes | Serve with lemon wedges,hard
Hummus Wrap,chickpeas tahini lemon garlic pita cucumber,Middle Eastern,350,4.5," Blend 150g chickpeas, tahini, lemon, and 3 cloves garlic for hummus | Warm pita bread | Spread generous hummus inside pita | Add sliced 1 cucumber | Add diced tomatoes and lettuce | Drizzle with olive oil | Wrap tightly and serve",medium
Pesto Pasta,pasta basil garlic olive oil parmesan,Italian,500,4.6,"Cook 200g pasta in salted boiling water | Blend 2 tbsp fresh basil, 3 cloves garlic, pine nuts, and 30g parmesan | Slowly add olive 2 tbsp oil while blending | Season pesto with salt and pepper | Drain pasta and reserve pasta water | Toss pasta with pesto | Add pasta water to thin if needed | Serve with extra Parmesan",medium
Samosa,potato peas flour spices oil,Indian,300,4.4,Boil and mash potatoes | Mix potatoes with cooked 50g peas and spices | Make dough with 100g flour and water | Roll dough and cut into triangles | Fill triangles with 2 medium potato mixture | Seal edges with water | Deep fry until golden brown | Serve with chutney,medium
Beef Kebab,beef onion bell pepper spices skewer,Turkish,480,4.6,Cut 200g beef into cubes | Marinate beef in spices and oil | Cut 1 medium onion and bell 1/2 tsp pepper into chunks | Thread beef and vegetables on skewers | Preheat grill to high heat | Grill kebabs turning frequently | Cook until beef is charred outside | Serve with rice or flatbread,hard
Fried Plantains,plantain oil salt,African/Caribbean,320,4.2,Peel ripe plantains | Slice plantains diagonally | Heat oil in pan over medium heat | Fry plantain slices until golden | Flip and fry other side | Drain on paper towels | Sprinkle with salt | Serve as side dish or snack,easy
Mango Sticky Rice,mango rice coconut milk sugar,Thai,350,4.7,Soak sticky 200g rice overnight | Steam rice until tender | Heat coconut 200ml milk with 1 tbsp sugar | Pour half of coconut milk over rice | Let rice absorb for 30 minutes | Slice ripe mango | Serve rice with mango slices | Drizzle remaining coconut milk on top,medium
Chicken Quesadilla,chicken cheese tortilla onion pepper,Mexican,480,4.5,Cook seasoned 200g chicken and dice | Sauté 1 medium onion and bell 1/2 tsp pepper | Place 2 tortilla in pan | Sprinkle 50g cheese on half of tortilla | Add chicken and vegetables | Fold tortilla in half | Cook until cheese melts and tortilla crisps | Slice and serve with salsa,medium
Spinach Omelette,egg spinach cheese onion butter,American,250,4.3,Beat eggs with salt and pepper | Sauté fresh 100g spinach until wilted | Heat 2 tbsp butter in non-stick pan | Pour eggs into pan | Add spinach and diced 1 medium onion | Sprinkle 50g cheese on top | Fold omelette in half | Serve hot,easy
Couscous Salad,couscous cucumber tomato olive oil lemon,North African,280,4.2, Pour boiling water over couscous and cover | Fluff couscous with fork after 5 minutes | Dice 1 cucumber and tomatoes | Add vegetables to cooled couscous | Drizzle with olive 2 tbsp oil | Squeeze fresh lemon juice | Season with salt and herbs | Toss and serve chilled,easy
Lasagna,pasta beef tomato sauce ricotta mozzarella,Italian,700,4.9,Brown ground 200g beef with onions | Add 2 medium tomato sauce and simmer | Make white sauce with butter | flour | and milk | Layer sauce | lasagna sheets | and cheese | Repeat layers ending with cheese | Cover with ricotta and 100g mozzarella | Bake at 375°F for 45 minutes | Let rest before slicing,medium
Gnocchi with Pesto,gnocchi basil parmesan pine nuts olive oil,Italian,620,4.7, Boil gnocchi until they float | Blend 2 tbsp fresh basil | pine 50g nuts | 30g parmesan | and garlic | Stream in olive 2 tbsp oil while blending pesto | Drain gnocchi and reserve pasta water | Toss gnocchi with pesto | Add pasta water if needed | Top with extra Parmesan | Serve immediately,medium
Beef Rendang,beef coconut milk lemongrass chili,Malaysian,650,4.8, Cut 200g beef into chunks | Toast spices and blend with lemongrass | Brown beef in oil | Add spice paste and cook | Pour in coconut 200ml milk | Add 1-2 chili and simmer | Cook slowly for 2-3 hours until tender | Serve with rice,hard
Okonomiyaki,cabbage flour egg pork sauce,Japanese,480,4.5, Shred 150g cabbage finely | Mix 100g flour | 2 egg | and water for batter | Fold cabbage into batter | Heat oil in pan | Pour batter to form pancake | Add 200g pork slices on top | Flip and cook other side | Drizzle with sauce and serve,medium
Baklava,phyllo dough honey nuts butter syrup,Middle Eastern,430,4.9,Layer phyllo sheets with melted 2 tbsp butter | Sprinkle chopped 50g nuts between layers | Repeat until all phyllo is used | Cut into diamond shapes before baking | Bake at 350°F until golden | Make syrup with 1 tbsp honey and sugar | Pour hot syrup over baklava | Let cool completely before serving,hard
Tomato Soup,tomato onion garlic cream basil,American,240,4.2,Sauté 1 medium onion and 3 cloves garlic in butter | Add fresh tomatoes and cook down | Pour in broth and bring to simmer | Add 100ml cream and fresh 2 tbsp fresh basil | Blend soup until smooth | Season with salt and pepper | Reheat gently | Serve with grilled cheese sandwich,medium
Cabbage Rolls,cabbage rice beef tomato sauce,Eastern European,420,4.4,Blanch whole 150g cabbage leaves | Mix cooked 200g rice with ground 200g beef | Season meat mixture well | Place filling on cabbage leaf | Roll leaf around filling tightly | Place rolls in baking dish | Pour 2 medium tomato sauce over rolls | Bake covered for 1 hour,medium
Kimchi Fried Rice,kimchi rice egg soy sauce sesame oil,Korean,420,4.6, Chop kimchi into small pieces | Heat 2 tbsp oil in wok over high heat | Stir-fry kimchi briefly | Add day-old 200g rice and break up | Add soy sauce and sesame oil | Toss until well combined | Push rice to side and fry 2 egg | Serve rice topped with fried egg,medium
Moussaka,eggplant beef tomato bechamel sauce,Greek,600,4.7,  Slice and fry 1 medium eggplant until golden | Brown ground 200g beef with onions | Add tomatoes and simmer meat sauce | Make bechamel sauce with butter | flour | and milk | Layer eggplant and meat sauce | Pour bechamel on top | Bake at 375°F for 45 minutes | Let cool before serving,hard
Gazpacho,tomato cucumber bell pepper garlic olive oil,Spanish,180,4.1,"Dice tomatoes, 1 cucumber, and bell 1/2 tsp pepper | Blend vegetables with 3 cloves garlic | Add olive 2 tbsp oil while blending | Season with salt and vinegar | Chill soup for at least 2 hours | Adjust seasoning before serving | Serve cold in chilled bowls | Garnish with diced vegetables",medium
Roast Duck,duck soy sauce honey garlic ginger,Chinese,650,4.8,Score duck skin in crosshatch pattern | Rub duck with soy sauce and 1 tbsp honey mixture | Add minced 3 cloves garlic and 1 tbsp minced ginger | Roast at 375°F for 90 minutes | Baste with pan juices every 30 minutes | Increase heat to crisp skin at end | Let rest before carving | Serve with steamed buns,hard
Coconut Shrimp,shrimp coconut flakes egg flour oil,Caribbean,480,4.5,Peel and devein 150g shrimp leaving tails | Dredge shrimp in 100g flour | Dip in beaten 2 egg | Coat with coconut flakes | Heat 2 tbsp oil for deep frying | Fry shrimp until golden brown | Drain on paper towels | Serve with sweet chili sauce,medium
Paneer Butter Masala,paneer tomato cream butter spices,Indian,550,4.8, Cut paneer into cubes | Make 2 medium tomato sauce with 2 tbsp butter and spices | Add 100ml cream to sauce | Simmer sauce until thickened | Lightly fry paneer cubes | Add paneer to sauce gently | Simmer for 10 minutes | Serve with naan or rice,medium
Tofu Stir Fry,tofu broccoli bell pepper soy sauce garlic,Asian,320,4.3,Press 200g tofu and cut into cubes | Heat oil in wok over high heat | Fry tofu until golden on all sides | Remove tofu and set aside | Stir-fry 150g broccoli and bell 1/2 tsp pepper | Add minced 3 cloves garlic and soy sauce | Add tofu back to wok | Toss everything together and serve,medium
Eggplant Parmesan,eggplant breadcrumbs tomato sauce cheese,Italian,480,4.5,Slice 1 medium eggplant into rounds | Salt eggplant and let drain 30 minutes | Coat eggplant in breadcrumbs | Fry eggplant until golden | Layer eggplant with 2 medium tomato sauce | Add shredded 50g cheese between layers | Bake at 375°F until bubbly | Serve with pasta,medium
Crème Brulee,cream sugar egg vanilla,Dessert/French,420,4.9,Heat 100ml cream with vanilla | Whisk 2 egg yolks with 1 tbsp sugar | Temper eggs with hot cream | Strain mixture into ramekins | Bake in water bath at 325°F | Chill custards for 4 hours | Sprinkle sugar on top | Torch sugar until caramelized and serve,medium
Oatmeal Cookies,oats sugar butter flour egg cinnamon,Dessert,360,4.4,Mix 100g flour | 100g rolled oats | 80g sugar | 1 tsp baking powder | and a pinch of salt in a bowl | In another bowl whisk 1 egg with 80g melted butter and 1 tsp vanilla extract | Pour wet mixture into dry ingredients and stir until just combined | Fold in 50g chocolate chips or raisins if desired | Line a baking tray with baking paper | Scoop 1 tbsp portions of dough and place on tray leaving space between each | Flatten each portion slightly with the back of a spoon | Bake in preheated oven at 180°C for 10–12 minutes until edges are golden | Let cookies cool on tray for 5 minutes then transfer to wire rack to cool completely |,easy
Shepherd's Pie,beef mashed potato onion carrot peas,British,580,4.6,Boil 400g potatoes in salted water for 15–20 minutes until tender | Drain potatoes and mash with 50g butter and 50ml milk | Season mash with salt and pepper and set aside | Heat 1 tbsp oil in a pan over medium heat | Add 1 diced onion and cook for 3–4 minutes until soft | Add 250g ground beef or lamb and cook until browned | Stir in 50g peas and 50g diced carrots | Add 150ml beef stock and 1 tbsp tomato paste | Simmer for 8–10 minutes until slightly thickened | Spread meat mixture evenly in a baking dish | Spoon mashed potatoes over the top and smooth with a spatula | Make light ridges on the mash with a fork | Bake in preheated oven at 190°C for 20–25 minutes until top is golden and filling is bubbling | Let rest for 5–10 minutes before serving |,medium
Prawn Curry,shrimp coconut milk curry powder onion,Indian,520,4.7,Peel and devein 200g prawns and pat dry | Heat 2 tbsp oil in a pot over medium heat | Add 1 diced onion and cook for 4–5 minutes until soft | Stir in 3 cloves minced garlic and 1 tbsp minced ginger and cook for 1 minute | Add 2 tbsp curry powder and 1 tsp chili powder and stir for 30 seconds | Pour in 200ml coconut milk and 100ml water or stock | Add 1 diced tomato and 1 tsp salt and bring to a gentle simmer | Add prawns to the curry and cook for 4–5 minutes until pink and cooked through | Squeeze in 1 tbsp lemon juice and adjust seasoning with salt if needed | Garnish with 2 tbsp chopped fresh cilantro | Serve hot with 200g steamed rice |,medium
Nasi Goreng Kampung,rice egg anchovies kangkung chili paste soy sauce shallot garlic oil,Malaysian,650,4.7,Heat 2 tbsp oil in wok over high heat | Fry 50g dried anchovies until crispy and set aside | Sauté 3 cloves minced garlic and 2 sliced shallots until fragrant | Add 250g cold cooked rice and stir fry 3 minutes | Mix in 2 tbsp chili paste 1 tbsp soy sauce and 50g sliced kangkung and cook 2 minutes | Push rice aside and scramble 2 eggs then mix into rice | Serve hot with sliced cucumber |,medium
Mee Goreng Mamak,egg noodles egg chicken cabbage tofu soy sauce chili paste ketchup potato,Malaysian,700,4.6,Boil 200g yellow egg noodles until just soft then drain | Heat 2 tbsp oil in wok and fry 100g sliced boiled potato until golden then push aside | Add 100g sliced chicken and 50g cubed tofu and stir fry until browned | Add 3 tbsp chili paste 1 tbsp soy sauce and 1 tbsp ketchup and cook 1 minute | Toss in noodles 50g shredded cabbage and 2 beaten eggs and stir fry until dry and smoky | Serve hot with lime wedges |,medium
Roti Canai,flour water ghee egg salt oil,Malaysian,450,4.8,Mix 250g flour 1 tsp salt 1 egg and 130ml water to form soft dough | Knead dough with 2 tbsp ghee until smooth then rest 30 minutes | Divide into 4 balls and coat each with 1 tbsp oil | Stretch each ball into very thin sheet and fold into coil | Flatten coils gently and cook on hot pan with 1 tsp ghee each side until golden and flaky | Serve hot with 150ml dhal curry or chicken curry |,medium
Nasi Kerabu,rice blue pea flower grated coconut fried fish ulam salted egg sambal,Malaysian,700,4.7,Soak 10 blue pea flowers in 200ml hot water and use to cook 250g rice until fluffy | Toast 50g grated coconut in dry pan until golden for kerisik | Fry 120g marinated fish until cooked then flake into large pieces | Arrange rice on plate with 30g kerisik assorted 80g ulam herbs and 1 quartered salted egg | Add 2 tbsp sambal and flaked fish on top and serve immediately |,hard
Nasi Kandar,rice chicken curry beef curry okra fried egg papadom cucumber,Malaysian,900,4.5,Cook 250g plain rice until fluffy and keep warm | Heat 200ml prepared chicken curry and 200ml beef curry in separate pots | Blanch 80g sliced okra in boiling water for 2 minutes and drain | Fry 1 egg per portion in 1 tbsp oil until edges are crispy | Serve rice flooded with 3 ladles mixed curries topped with okra fried egg 1 papadom and sliced cucumber |,hard
Nasi Dagang,glutinous rice regular rice coconut milk fenugreek fish curry cucumber egg,Malaysian,780,4.7,Soak 150g glutinous rice with 100g regular rice for 3 hours then drain | Steam rice for 20 minutes then sprinkle with 200ml coconut milk mixed with 1 tsp salt and 1 tsp fenugreek seeds and steam again until cooked | Cook 200g fish pieces in 250ml spiced curry gravy until tender | Boil 2 eggs for 10 minutes then peel and halve | Serve nasi dagang with fish curry cucumber slices and boiled egg on the side |,hard
